"datasetName","basisOfRecord","recordedBy","eventID","parentEventID","eventDate_setup","eventDate_collect","eventDate","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","locationID_site","locationID_trap","country","countryCode","stateProvince","county","locality","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","georeferenceProtocol","georeferenceSources","identifiedBy","dung_type","Digitonthophagus gazella","Onthophagus sagittarius","Liatongus militaris","Onitis alexis","Onitis viridulus","Euoniticellus intermedius","Sisyphus spinipes","Sisyphus rubrus","Copris elphenor","Onthophagus nigriventris","Onthophagus binodis","Onitis caffer","Onitis pecuarius","Euoniticellus africanus","Onitis vanderkelleni","Onthophagus obliquus"
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2002-01-03_a","Tara_2002-01-03",2002-01-03,2002-01-04,"2002-01-03/2002-01-04",3,4,2002,1,3,"2002-01-03 2002-01-04","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 1","Australia","AUS","Queensland","Western Downs","12 km NNE Tara",-27.3491669,150.4102783,"EPSG:4326",71,0.000277777777777778,"27 20 57.0 S","150 24 37.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",12,0,0,1,0,9,0,3,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2002-01-03_b","Tara_2002-01-03",2002-01-03,2002-01-04,"2002-01-03/2002-01-04",3,4,2002,1,3,"2002-01-03 2002-01-04","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 2","Australia","AUS","Queensland","Western Downs","14 km NNE Tara",-27.3624992,150.3822174,"EPSG:4326",71,0.000277777777777778,"27 21 45.0 S","150 22 56.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",7,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2002-01-31_a","Tara_2002-01-31",2002-01-31,2002-02-01,"2002-01-31/2002-02-01",31,32,2002,1,31,"2002-01-31 2002-02-01","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 1","Australia","AUS","Queensland","Western Downs","12 km NNE Tara",-27.3491669,150.4102783,"EPSG:4326",71,0.000277777777777778,"27 20 57.0 S","150 24 37.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",54,0,0,0,0,63,1,31,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2002-01-31_b","Tara_2002-01-31",2002-01-31,2002-02-01,"2002-01-31/2002-02-01",31,32,2002,1,31,"2002-01-31 2002-02-01","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 2","Australia","AUS","Queensland","Western Downs","14 km NNE Tara",-27.3624992,150.3822174,"EPSG:4326",71,0.000277777777777778,"27 21 45.0 S","150 22 56.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",56,0,0,1,0,46,4,34,0,0,0,0,0,1,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2002-02-28_a","Tara_2002-02-28",2002-02-28,2002-03-01,"2002-02-28/2002-03-01",59,60,2002,2,28,"2002-02-28 2002-03-01","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 1","Australia","AUS","Queensland","Western Downs","12 km NNE Tara",-27.3491669,150.4102783,"EPSG:4326",71,0.000277777777777778,"27 20 57.0 S","150 24 37.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",59,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2002-02-28_b","Tara_2002-02-28",2002-02-28,2002-03-01,"2002-02-28/2002-03-01",59,60,2002,2,28,"2002-02-28 2002-03-01","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 2","Australia","AUS","Queensland","Western Downs","14 km NNE Tara",-27.3624992,150.3822174,"EPSG:4326",71,0.000277777777777778,"27 21 45.0 S","150 22 56.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",97,0,0,0,0,30,0,6,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2002-04-01_a","Tara_2002-04-01",2002-04-01,2002-04-02,"2002-04-01/2002-04-02",91,92,2002,4,1,"2002-04-01 2002-04-02","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 1","Australia","AUS","Queensland","Western Downs","12 km NNE Tara",-27.3491669,150.4102783,"EPSG:4326",71,0.000277777777777778,"27 20 57.0 S","150 24 37.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",61,0,0,1,0,6,1,10,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Tara_2002-04-01_b","Tara_2002-04-01",2002-04-01,2002-04-02,"2002-04-01/2002-04-02",91,92,2002,4,1,"2002-04-01 2002-04-02","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Tara","Tara 2","Australia","AUS","Queensland","Western Downs","14 km NNE Tara",-27.3624992,150.3822174,"EPSG:4326",71,0.000277777777777778,"27 21 45.0 S","150 22 56.0 E","degrees minutes seconds","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",126,0,0,0,0,29,4,11,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Clermont 2_2001-04-05_a","Clermont 2_2001-04-05",2001-04-05,2001-04-06,"2001-04-05/2001-04-06",95,96,2001,4,5,"2001-04-05 2001-04-06","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Clermont 2","Clermont 2 1","Australia","AUS","Queensland","Isaac","28 km SW Frankfield",-22.1043339,147.3329926,"EPSG:4326",55,0.000166666666666667,"22 06.26 S","147 19.98 E","degrees decimal minutes","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",3,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Clermont 2_2001-04-05_b","Clermont 2_2001-04-05",2001-04-05,2001-04-06,"2001-04-05/2001-04-06",95,96,2001,4,5,"2001-04-05 2001-04-06","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Clermont 2","Clermont 2 2","Australia","AUS","Queensland","Isaac","28 km SW Frankfield",-22.1043339,147.3329926,"EPSG:4326",4861,0.000166666666666667,"22 06.26 S","147 19.98 E","degrees decimal minutes","EPSG:4326","coordinates taken from the other trap at the same site, coordinateUncertaintyInMeters includes additional uncertainty associated with the unknown trap location within the site","GPS","QDBPP","cattle",19,0,0,0,0,7,0,32,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Clermont 2_2001-05-10_a","Clermont 2_2001-05-10",2001-05-10,2001-05-11,"2001-05-10/2001-05-11",130,131,2001,5,10,"2001-05-10 2001-05-11","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Clermont 2","Clermont 2 1","Australia","AUS","Queensland","Isaac","28 km SW Frankfield",-22.1043339,147.3329926,"EPSG:4326",55,0.000166666666666667,"22 06.26 S","147 19.98 E","degrees decimal minutes","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",3,0,11,0,0,39,11,16,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Clermont 2_2001-05-10_b","Clermont 2_2001-05-10",2001-05-10,2001-05-11,"2001-05-10/2001-05-11",130,131,2001,5,10,"2001-05-10 2001-05-11","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Clermont 2","Clermont 2 2","Australia","AUS","Queensland","Isaac","28 km SW Frankfield",-22.1043339,147.3329926,"EPSG:4326",4861,0.000166666666666667,"22 06.26 S","147 19.98 E","degrees decimal minutes","EPSG:4326","coordinates taken from the other trap at the same site, coordinateUncertaintyInMeters includes additional uncertainty associated with the unknown trap location within the site","GPS","QDBPP","cattle",0,0,1,0,0,6,0,4,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Clermont 2_2001-06-06_a","Clermont 2_2001-06-06",2001-06-06,2001-06-07,"2001-06-06/2001-06-07",157,158,2001,6,6,"2001-06-06 2001-06-07","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Clermont 2","Clermont 2 1","Australia","AUS","Queensland","Isaac","28 km SW Frankfield",-22.1043339,147.3329926,"EPSG:4326",55,0.000166666666666667,"22 06.26 S","147 19.98 E","degrees decimal minutes","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","QDBPP","cattle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Queensland Dung Beetle Project","PreservedSpecimen","QDBPP","Clermont 2_2001-06-06_b","Clermont 2_2001-06-06",2001-06-06,2001-06-07,"2001-06-06/2001-06-07",157,158,2001,6,6,"2001-06-06 2001-06-07","pasture","QLD project pitfall trap baited with 1 L (+/- 0.1 L) cattle dung wrapped in gauze (no preservative)",1,"day","1 trap","Clermont 2","Clermont 2 2","Australia","AUS","Queensland","Isaac","28 km SW Frankfield",-22.1043339,147.3329926,"EPSG:4326",4861,0.000166666666666667,"22 06.26 S","147 19.98 E","degrees decimal minutes","EPSG:4326","coordinates taken from the other trap at the same site, coordinateUncertaintyInMeters includes additional uncertainty associated with the unknown trap location within the site","GPS","QDBPP","cattle",0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
