"datasetName","basisOfRecord","recordedBy","eventID","parentEventID","eventDate_setup","eventDate_collect","eventDate","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","eventRemarks","locationID_site","locationID_trap","country","countryCode","stateProvince","county","locality","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","georeferenceProtocol","georeferenceSources","identifiedBy","dung_type","Onthophagus taurus","Euoniticellus fulvus","Euoniticellus pallipes","Onitis aygulus","Onthophagus binodis","Onitis alexis","Euoniticellus intermedius","Bubas bison","Onthophagus ferox","Onthophagus vermiculatus","Copris hispanus"
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Badgingarra_2012-03-01_a","Badgingarra_2012-03-01",2012-03-01,2012-03-02,"2012-03-01/2012-03-02",61,62,2012,3,1,"2012-03-01 2012-03-02 11:55:15","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Badgingarra","Badgingarra Trap 1","Australia","AUS","Western Australia","Dandaragan","8 km NNE Boothendarra",-30.277467,115.591779,"EPSG:4326",31,1e-05,-30.277467,115.591779,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",3,0,0,0,0,7,40,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Bullsbrook_2012-03-01_b","Bullsbrook_2012-03-01",2012-03-01,2012-03-02,"2012-03-01/2012-03-02",61,62,2012,3,1,"2012-03-01 2012-03-02 09:28:57","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Bullsbrook","Bullsbrook Trap 2","Australia","AUS","Western Australia","Swan","5 km N Bullsbrook",-31.711522,116.007969,"EPSG:4326",31,1e-05,-31.711522,116.007969,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",0,0,0,0,0,0,23,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Badgingarra_2012-03-01_b","Badgingarra_2012-03-01",2012-03-01,2012-03-02,"2012-03-01/2012-03-02",61,62,2012,3,1,"2012-03-01 2012-03-02 11:59:26","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Badgingarra","Badgingarra Trap 2","Australia","AUS","Western Australia","Dandaragan","8 km NNE Boothendarra",-30.277745,115.591987,"EPSG:4326",31,1e-05,-30.277745,115.591987,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",8,0,0,3,0,15,119,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Clackline_2012-03-06_a","Clackline_2012-03-06",2012-03-06,2012-03-07,"2012-03-06/2012-03-07",66,67,2012,3,6,"2012-03-06 2012-03-07 13:55:31","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Clackline","Clackline Trap 2","Australia","AUS","Western Australia","Northam","2 km S Mokine",-31.729294,116.574014,"EPSG:4326",31,1e-05,-31.729294,116.574014,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",24,0,0,0,0,1,50,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Clackline_2012-03-06_b","Clackline_2012-03-06",2012-03-06,2012-03-07,"2012-03-06/2012-03-07",66,67,2012,3,6,"2012-03-06 2012-03-07 14:00:13","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Clackline","Clackline Trap 1","Australia","AUS","Western Australia","Northam","2 km S Mokine",-31.729248,116.574213,"EPSG:4326",31,1e-05,-31.729248,116.574213,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",10,0,0,0,0,2,43,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Quairading_2012-03-06_a","Quairading_2012-03-06",2012-03-06,2012-03-07,"2012-03-06/2012-03-07",66,67,2012,3,6,"2012-03-06 2012-03-07 11:18:11","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Quairading","Quairading Trap 2","Australia","AUS","Western Australia","Corrigin","6 km ESE Adamsvale",-32.188177,117.665843,"EPSG:4326",31,1e-05,-32.188177,117.665843,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",0,0,0,0,0,9,64,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Quairading_2012-03-06_b","Quairading_2012-03-06",2012-03-06,2012-03-07,"2012-03-06/2012-03-07",66,67,2012,3,6,"2012-03-06 2012-03-07 11:16:58","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Quairading","Quairading Trap 1","Australia","AUS","Western Australia","Corrigin","6 km ESE Adamsvale",-32.188179,117.666051,"EPSG:4326",31,1e-05,-32.188179,117.666051,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",0,0,0,1,0,8,51,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Manjimup_2012-02-21_a","Manjimup_2012-02-21",2012-02-21,2012-02-22,"2012-02-21/2012-02-22",52,53,2012,2,21,"2012-02-21 2012-02-22","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Manjimup","Manjimup Trap 1","Australia","AUS","Western Australia","Manjimup","2 km NNW Jardee",-34.322199,116.087979,"EPSG:4326",31,1e-05,-34.322199,116.087979,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",2443,164,0,1,39,0,0,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Manjimup_2012-02-21_b","Manjimup_2012-02-21",2012-02-21,2012-02-22,"2012-02-21/2012-02-22",52,53,2012,2,21,"2012-02-21 2012-02-22","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Manjimup","Manjimup Trap 2","Australia","AUS","Western Australia","Manjimup","2 km NNW Jardee",-34.322194,116.087985,"EPSG:4326",31,1e-05,-34.322194,116.087985,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",2604,208,0,0,52,0,0,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Vasse_2012-02-21_a","Vasse_2012-02-21",2012-02-21,2012-02-22,"2012-02-21/2012-02-22",52,53,2012,2,21,"2012-02-21 2012-02-22","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Vasse","Vasse Trap 2","Australia","AUS","Western Australia","Busselton","3 km SSW Chapman Hill",-33.7504,115.337179,"EPSG:4326",31,1e-05,-33.7504,115.337179,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",97,2,14,0,0,0,0,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Narrikup_2012-02-15_b","Narrikup_2012-02-15",2012-02-15,2012-02-16,"2012-02-15/2012-02-16",46,47,2012,2,15,"2012-02-15 2012-02-16","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Narrikup","Narrikup Trap 2","Australia","AUS","Western Australia","Plantagenet","6 km SSW Narrikup",-34.725057,117.728324,"EPSG:4326",31,1e-05,-34.725057,117.728324,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",3319,157,0,0,290,0,0,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Narrikine_2012-03-20_a","Narrikine_2012-03-20",2012-03-20,2012-03-21,"2012-03-20/2012-03-21",80,81,2012,3,20,"2012-03-20 2012-03-21 14:49:26","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Narrikine","Narrikine Trap 1","Australia","AUS","Western Australia","Williams","14 km ESE Williams",-32.968845,116.751078,"EPSG:4326",31,1e-05,-32.968845,116.751078,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",4,0,2,0,0,0,0,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Kojonup_2012-03-20_a","Kojonup_2012-03-20",2012-03-20,2012-03-21,"2012-03-20/2012-03-21",80,81,2012,3,20,"2012-03-20 2012-03-21 12:08:19","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Kojonup","Kojonup Trap 2","Australia","AUS","Western Australia","Kojonup","8 km N Kojonup",-33.908102,117.182336,"EPSG:4326",31,1e-05,-33.908102,117.182336,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",1,0,0,0,0,0,0,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Manjimup_2012-03-19_a","Manjimup_2012-03-19",2012-03-19,2012-03-20,"2012-03-19/2012-03-20",79,80,2012,3,19,"2012-03-19 2012-03-20","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Manjimup","Manjimup Trap 2","Australia","AUS","Western Australia","Manjimup","2 km NNW Jardee",-34.322194,116.087985,"EPSG:4326",31,1e-05,-34.322194,116.087985,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",5,0,0,1,1,0,0,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Manjimup_2012-03-19_b","Manjimup_2012-03-19",2012-03-19,2012-03-20,"2012-03-19/2012-03-20",79,80,2012,3,19,"2012-03-19 2012-03-20","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Manjimup","Manjimup Trap 1","Australia","AUS","Western Australia","Manjimup","2 km NNW Jardee",-34.322199,116.087979,"EPSG:4326",31,1e-05,-34.322199,116.087979,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",2,0,0,0,1,0,0,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Vasse_2012-03-20_a","Vasse_2012-03-20",2012-03-20,2012-03-21,"2012-03-20/2012-03-21",80,81,2012,3,20,"2012-03-20 2012-03-21","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Vasse","Vasse Trap 1","Australia","AUS","Western Australia","Busselton","3 km SSW Chapman Hill",-33.750399,115.337179,"EPSG:4326",31,1e-05,-33.750399,115.337179,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",42,3,34,0,3,1,0,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Vasse_2012-03-20_b","Vasse_2012-03-20",2012-03-20,2012-03-21,"2012-03-20/2012-03-21",80,81,2012,3,20,"2012-03-20 2012-03-21","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Vasse","Vasse Trap 2","Australia","AUS","Western Australia","Busselton","3 km SSW Chapman Hill",-33.7504,115.337179,"EPSG:4326",31,1e-05,-33.7504,115.337179,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",83,2,90,0,5,0,0,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Bullsbrook_2012-03-27_a","Bullsbrook_2012-03-27",2012-03-27,2012-03-28,"2012-03-27/2012-03-28",87,88,2012,3,27,"2012-03-27 2012-03-28 09:53:10","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Bullsbrook","Bullsbrook Trap 1","Australia","AUS","Western Australia","Swan","5 km N Bullsbrook",-31.711725,116.008171,"EPSG:4326",31,1e-05,-31.711725,116.008171,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",2,0,4,0,0,2,11,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Badgingarra_2012-03-27_a","Badgingarra_2012-03-27",2012-03-27,2012-03-28,"2012-03-27/2012-03-28",87,88,2012,3,27,"2012-03-27 2012-03-28 12:29:43","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Badgingarra","Badgingarra Trap 2","Australia","AUS","Western Australia","Dandaragan","8 km NNE Boothendarra",-30.277745,115.591987,"EPSG:4326",31,1e-05,-30.277745,115.591987,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",4,0,3,0,0,11,12,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Badgingarra_2012-03-27_b","Badgingarra_2012-03-27",2012-03-27,2012-03-28,"2012-03-27/2012-03-28",87,88,2012,3,27,"2012-03-27 2012-03-28 12:29:16","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Badgingarra","Badgingarra Trap 1","Australia","AUS","Western Australia","Dandaragan","8 km NNE Boothendarra",-30.277467,115.591779,"EPSG:4326",31,1e-05,-30.277467,115.591779,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",8,0,3,1,0,4,11,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Bullsbrook_2012-03-27_b","Bullsbrook_2012-03-27",2012-03-27,2012-03-28,"2012-03-27/2012-03-28",87,88,2012,3,27,"2012-03-27 2012-03-28 09:53:48","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Bullsbrook","Bullsbrook Trap 2","Australia","AUS","Western Australia","Swan","5 km N Bullsbrook",-31.711522,116.007969,"EPSG:4326",31,1e-05,-31.711522,116.007969,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",3,0,11,0,0,3,4,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Quairading_2012-04-04_a","Quairading_2012-04-04",2012-04-04,2012-04-05,"2012-04-04/2012-04-05",95,96,2012,4,4,"2012-04-04 2012-04-05 10:38:25","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Quairading","Quairading Trap 2","Australia","AUS","Western Australia","Corrigin","6 km ESE Adamsvale",-32.188177,117.665843,"EPSG:4326",31,1e-05,-32.188177,117.665843,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",1,0,13,1,0,2,10,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Clackline_2012-04-04_a","Clackline_2012-04-04",2012-04-04,2012-04-05,"2012-04-04/2012-04-05",95,96,2012,4,4,"2012-04-04 2012-04-05 12:41:58","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Clackline","Clackline Trap 1","Australia","AUS","Western Australia","Northam","2 km S Mokine",-31.729248,116.574213,"EPSG:4326",31,1e-05,-31.729248,116.574213,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",6,0,0,0,0,0,2,0,0,0,0
"South-Western Australian Dung Beetle Survey and Monitoring Project","PreservedSpecimen","DAFWA","Clackline_2012-04-04_b","Clackline_2012-04-04",2012-04-04,2012-04-05,"2012-04-04/2012-04-05",95,96,2012,4,4,"2012-04-04 2012-04-05 12:42:48","pasture","CSIRO pitfall trap baited with 1L (+/- 0.1L) cattle dung wrapped in gauze (ethanol preservative)",1,"day","1 trap",,"Clackline","Clackline Trap 2","Australia","AUS","Western Australia","Northam","2 km S Mokine",-31.729294,116.574014,"EPSG:4326",31,1e-05,-31.729294,116.574014,"decimal degrees","EPSG:4326","coordinates from GPS device, coordinateUncertaintyInMeters includes an assumed GPS uncertainty of 30 m","GPS","DAFWA","cattle",1,0,0,0,0,1,1,0,0,0,0
